"Fish_ID","Population","Treatment","DPI","Sex","Lane"
487,"RSL","Alum","42","F","L002"
488,"RSL","Worm Protein","42","M","L002"
490,"RSL","Worm+Alum","42","F","L002"
612,"SAY","Worm Protein","90","F","L002"
613,"SAY","Worm Protein","90","F","L002"
614,"SAY","PBS","90","M","L002"
615,"SAY","Alum","90","F","L002"
616,"SAY","PBS","90","F","L002"
617,"SAY","Worm Protein","90","M","L002"
618,"SAY","Worm+Alum","90","M","L002"
619,"SAY","Worm+Alum","90","F","L002"
620,"GOS","Alum","90","F","L002"
621,"GOS","Alum","90","F","L002"
622,"GOS","Worm+Alum","90","M","L002"
623,"GOS","Worm+Alum","90","M","L002"
624,"GOS","Alum","90","F","L002"
625,"GOS","PBS","90","F","L002"
626,"GOS","Worm Protein","90","M","L002"
627,"GOS","Alum","90","M","L002"
628,"GOS","Worm Protein","90","F","L002"
629,"GOS","Alum","90","F","L002"
630,"GOS","Alum","90","F","L002"
631,"GOS","Alum","90","F","L002"
632,"GOS","Alum","90","F","L002"
633,"GOS","PBS","90","F","L002"
634,"GOS","PBS","90","M","L002"
635,"GOS","Worm+Alum","90","F","L002"
636,"GOS","Worm+Alum","90","F","L002"
637,"SAY","Alum","90","F","L002"
638,"SAY","Alum","90","M","L002"
639,"SAY","Worm+Alum","90","F","L002"
640,"SAY","Worm Protein","90","F","L002"
641,"RSL","Worm Protein","90","M","L002"
642,"RSL","Alum","90","F","L002"
643,"RSL","Alum","90","F","L002"
644,"RSL","Worm+Alum","90","F","L002"
645,"RSL","Worm Protein","90","M","L002"
646,"RSL","PBS","90","F","L002"
647,"RSL","Worm Protein","90","M","L002"
648,"RSL","Worm Protein","90","M","L002"
649,"RSL","Worm+Alum","90","F","L002"
650,"RSL","Worm+Alum","90","F","L002"
651,"RSL","Worm+Alum","90","F","L002"
652,"RSL","Worm Protein","90","F","L002"
653,"RSL","Worm+Alum","90","F","L002"
654,"RSL","Worm+Alum","90","F","L002"
655,"RSL","Worm Protein","90","M","L002"
656,"RSL","Worm Protein","90","F","L002"
657,"RSL","Alum","90","M","L002"
658,"RSL","Worm Protein","90","M","L002"
659,"RSL","PBS","90","F","L002"
660,"RSL","PBS","90","F","L002"
