"gene","meanreadprop","Pop_P","Fib_P","Pop:Fib_P","Pop_GvS_C","Pop_RvS_C","Fib_C","GvS:Fib_C","RvS:Fib_C"
"ENSGACT00000017780","4.62547780985313e-05","1.59918143173438e-17","0.000108085297296078","0.251589815229395","0.0327338940102369","-0.257322547974663","-0.0349856349235122","-0.0352347379342834","0.0102795327210537"
"ENSGACT00000007594","4.46832609359449e-05","6.05621424856904e-10","0.000108150450380934","0.188730301174676","-0.118195332390383","0.0714662004689981","0.0205350787842004","0.0389613567763637","0.00862117042438323"
"ENSGACT00000008262","0.000137091333029063","2.78718259257567e-31","0.000108496852010806","0.00853377553598066","-0.0444978048052002","0.0711216203298662","0.0116192488970374","0.0101015525328091","-0.0111628438602923"
"ENSGACT00000006886","8.09202598164158e-05","7.74406733006343e-13","0.000108730649544934","0.063171033220369","-0.0559434003324451","0.0565060308288117","0.0193105686500216","0.00800936919464638","-0.0159569272982299"
"ENSGACT00000008529","3.42154206086175e-05","0.000660238611470142","0.000108878011278404","0.121161987761399","0.117454220811817","-0.0814775154543809","-0.0508903223672345","-0.0535094115133963","0.0255602023572007"
"ENSGACT00000019657","0.000104523592873699","5.01093867245464e-05","0.000108928751846804","0.0508826273305913","-0.042031345506455","-0.00930661403592168","0.0111692467627039","0.00841220130966384","-0.00874236546002483"
"ENSGACT00000015949","0.000111260964372157","4.4734892609723e-14","0.000109324118093332","0.572263035189918","0.0179312445349594","-0.0537841269985417","0.00649612212578048","0.00517994284746177","0.00587035376899194"
"ENSGACT00000011833","0.000159198438493385","3.55570918862868e-31","0.000109503376262585","0.00510710163226987","-0.0392122367759225","0.0593518813593354","0.00930845489191675","0.00992450481340158","-0.00912224759853853"
"ENSGACT00000017439","0.00011814814036323","1.19194102819451e-61","0.000109901497988782","0.0738305690913702","-0.0132777517383793","0.134877943775275","0.0113333850748161","0.00952965323512501","-0.00732570962190277"
"ENSGACT00000011578","5.66509708416039e-05","0.000300386194366414","0.000111341918269723","0.954080283801633","0.077064143203514","-0.0755099935448193","0.042374097557279","-0.00572922032561218","-0.00663797048526571"
"ENSGACT00000022282","9.98459923716389e-05","7.3148634883048e-64","0.000112108360892518","0.791571297934862","0.011413458542015","0.120766085310068","0.00898616071922765","0.00337235745586154","-0.000727986340450347"
"ENSGACT00000013545","9.56945901404151e-05","0.780340347645011","0.000114190226951078","0.0296886885411825","-0.00918810309007342","-0.0137871755221868","0.00434043015638267","0.0201280816758534","0.00572527169164845"
